REV_OUTCOME,p-value,r-value,excluded_study,num_of_studie,diff,p_sig,r_sig,sig_to_insig
CD000004_7,0.03003,0.16752,STD-Blecher-1967,3,0.13749,1,0,1
CD000006_6,0.03385,0.26818000000000003,STD-Kettle-2002,7,0.23433,1,0,1
CD000012_1,0.0196,0.02309,STD-MacVicar-1993,14,0.00349,1,1,0
CD000012_6,0.0,0.0,STD-Waldenstrom-1997,11,0.0,1,1,0
CD000012_7,0.00025,0.00091,STD-Begley-2009,11,0.00066,1,1,0
CD000012_9,0.01643,0.04342,STD-Hundley-1994,9,0.026989999999999997,1,1,0
CD000012_10,0.01299,0.029930000000000002,STD-MacVicar-1993,8,0.01694,1,1,0
CD000013_4,0.0,0.0,STD-Abdel_x002d_Aleem-2005,10,0.0,1,1,0
CD000013_5,0.00018,0.0359,STD-Abdel_x002d_Aleem-2005,10,0.03572,1,1,0
CD000013_6,0.0,0.01944,STD-Schrimmer-1991,8,0.01944,1,1,0
CD000013_16,0.0,2e-05,STD-Abdel_x002d_Aleem-2005,4,2e-05,1,1,0
CD000013_21,0.0,0.0,STD-Regi-2009,7,0.0,1,1,0
CD000014_1,0.00079,0.00079,STD-Mahomed-1998,13,0.0,1,1,0
CD000014_6,2.9999999999999997e-05,0.24915,STD-Macri-1992,7,0.24911999999999998,1,0,1
CD000014_7,0.0,0.0,STD-Macri-1992,11,0.0,1,1,0
CD000014_9,0.01857,0.02624,STD-Cialone-1994,5,0.007670000000000001,1,1,0
CD000014_16,0.0,0.16745,STD-Sood-2004,5,0.16745,1,0,1
CD000014_17,0.0,0.027280000000000002,STD-Choudhary-2010,11,0.027280000000000002,1,1,0
CD000014_22,0.0008699999999999999,0.06926,STD-Choudhary-2010,14,0.06838999999999999,1,0,1
CD000014_23,0.00013000000000000002,0.02536,STD-Choudhary-2010,7,0.025230000000000002,1,1,0
CD000019_14,0.00705,0.054220000000000004,STD-ACTOBAT-1995,57,0.04717,1,0,1
CD000019_16,0.00949,0.01081,STD-ACTOBAT-1995,3,0.00132,1,1,0
CD000019_32,0.02885,0.0744,STD-ACTOBAT-1995,21,0.04555,1,0,1
CD000021_1,0.0,2e-05,STD-International-1966,20,2e-05,1,1,0
CD000021_2,0.0007599999999999999,0.0045899999999999995,STD-International-1966,16,0.0038299999999999996,1,1,0
CD000022_1,0.01346,0.02096,STD-Krueger-2002,37,0.0075,1,1,0
CD000022_2,0.01346,0.02096,STD-Krueger-2002,37,0.0075,1,1,0
CD000022_3,0.01051,0.01895,STD-Krueger-2002,37,0.008440000000000001,1,1,0
CD000022_4,0.0,0.0,STD-Krueger-2002,34,0.0,1,1,0
CD000022_5,0.0,0.0,STD-Krueger-2002,34,0.0,1,1,0
CD000022_6,0.0,0.0,STD-Krueger-2002,34,0.0,1,1,0
CD000024_5,0.013580000000000002,0.017480000000000002,STD-McCarthy-1986,10,0.0039,1,1,0
CD000024_8,0.00264,0.014469999999999998,STD-IST-1997,10,0.01183,1,1,0
CD000024_10,0.03863,0.44966999999999996,STD-IST-1997,5,0.41103999999999996,1,0,1
CD000025_1,0.0,0.00011,STD-Nimodipine-SG-2003,20,0.00011,1,1,0
CD000025_8,0.00031,0.00031,STD-Magpie-Trial-2002,10,0.0,1,1,0
CD000025_9,0.00783,0.014769999999999998,STD-Magpie-Trial-2002,30,0.006940000000000001,1,1,0
CD000025_18,0.04587,0.16564,STD-USA-_x002d_-Texas-1995,15,0.11977,1,0,1
CD000026_2,0.00949,0.02522,STD-Penack-2006,20,0.01573,1,1,0
CD000026_3,0.00018999999999999998,0.00026000000000000003,STD-Yamac-1995,28,7e-05,1,1,0
CD000026_4,0.0,0.0,STD-Goodman-1992,22,0.0,1,1,0
CD000026_5,0.0,5e-05,STD-Penack-2006,22,5e-05,1,1,0
CD000028_2,0.0,0.0,STD-SHEP-1991,23,0.0,1,1,0
CD000028_3,0.01616,0.03614,STD-SHEP-1991,6,0.01998,1,1,0
CD000031_1,0.0,0.0,STD-Tonstad-2003,65,0.0,1,1,0
CD000031_2,0.0,0.0,STD-Tonstad-2003,53,0.0,1,1,0
CD000031_3,0.0,0.0,STD-Fossati-2007,42,0.0,1,1,0
CD000031_5,0.00207,0.16343,STD-Jorenby-1999,12,0.16136,1,0,1
CD000031_8,0.03275,0.13310999999999998,STD-Jorenby-2006,4,0.10036,1,0,1
CD000038_2,0.016880000000000003,0.016880000000000003,STD-Lewis-1999,7,0.0,1,1,0
CD000052_1,0.03483,0.07061,STD-Leversha-2000,28,0.03578,1,0,1
CD000053_5,0.04566,0.04566,STD-King-1989-KEN,18,0.0,1,1,0
CD000053_7,0.014480000000000002,0.038419999999999996,STD-King-2002-KEN,10,0.02394,1,1,0
CD000054_6,0.02743,0.04211,STD-Alger-1991,9,0.01468,1,1,0
CD000054_7,0.00713,0.049710000000000004,STD-Magat-1993,10,0.04258,1,1,0
CD000054_8,0.00323,0.019780000000000002,STD-Adair-1998,13,0.01655,1,1,0
CD000059_7,0.04193,0.14424,STD-Dong-1999-_x0028_CPZ_x0029_,14,0.10231,1,0,1
CD000059_8,0.010190000000000001,0.014580000000000001,STD-Kane-1988-_x0028_CPZ_x0029_,19,0.00439,1,1,0
CD000059_16,0.0108,0.017759999999999998,STD-Rosenheck-1993-_x0028_H_x0029_,22,0.006959999999999999,1,1,0
CD000059_17,0.0078,0.02541,STD-Ou-1999-_x0028_CPZ_x0029_,19,0.01761,1,1,0
CD000059_19,0.01183,0.0545,STD-Kane-1988-_x0028_CPZ_x0029_,8,0.04267,1,0,1
CD000059_21,0.0,0.0,STD-Essock-1996-_x0028_H_x002f_CPZ_x002f_Flu_x0029_,25,0.0,1,1,0
CD000059_13,0.03395,0.05874,STD-Essock-1996-_x0028_H_x002f_CPZ_x002f_Flu_x0029_,35,0.02479,1,0,1
CD000060_1,0.00027,0.00058,STD-Qureshi-1998-_x0028_severe_x0029_,16,0.00031,1,1,0
CD000060_13,9e-05,0.00058,STD-Qureshi-1998-_x0028_severe_x0029_,16,0.00049,1,1,0
CD000060_18,7e-05,0.0008300000000000001,STD-Qureshi-1998-_x0028_severe_x0029_,15,0.0007599999999999999,1,1,0
CD000060_19,0.00025,0.00058,STD-Qureshi-1998-_x0028_severe_x0029_,16,0.00033,1,1,0
CD000060_20,0.00023999999999999998,0.00062,STD-Qureshi-1998-_x0028_severe_x0029_,17,0.00037999999999999997,1,1,0
CD000066_1,0.0021100000000000003,0.0021100000000000003,STD-de-Buman-1987,7,0.0,1,1,0
CD000067_2,0.03858,0.11358,STD-O_x0027_Donoghue-1978,8,0.075,1,0,1
CD000067_5,0.036680000000000004,0.09162999999999999,STD-L_x00e9_mann-2005,4,0.05495,1,0,1
CD000071_1,0.0412,0.0541,STD-AbuRahma-1996,12,0.0129,1,0,1
CD000081_1,0.0057,0.01595,STD-Rodriguez-2008,29,0.01025,1,1,0
CD000081_5,0.0,0.77478,STD-Belizan-1993,7,0.77478,1,0,1
CD000083_5,0.022369999999999998,0.8741899999999999,STD-Rita-2012,3,0.85182,1,0,1
CD000083_8,0.00895,0.26400999999999997,STD-Rita-2012,3,0.25506,1,0,1
CD000084_4,0.035039999999999995,0.09286,STD-Van-Veelen-1989,5,0.05782,1,0,1
CD000084_6,1e-05,0.00885,STD-Akhtar-2013,5,0.00884,1,1,0
CD000088_1,0.00644,0.008459999999999999,STD-Zhang-1994,26,0.00202,1,1,0
CD000088_4,0.01444,0.0739,STD-Liu-2003,29,0.05946,1,0,1
CD000088_29,0.0482,0.0482,STD-Buchkremer-1995,4,0.0,1,1,0
CD000088_38,0.0,0.0,STD-Zhou-2007,58,0.0,1,1,0
CD000088_49,0.02304,0.02304,STD-Tarrier-1988,8,0.0,1,1,0
CD000091_1,0.00035,0.00035,STD-RDTCI_x002d_2-2005,24,0.0,1,1,0
CD000091_3,0.01675,0.0405,STD-ESTAT-2006,22,0.02375,1,1,0
CD000093_8,0.034089999999999995,0.07615,STD-Ahrengart-1994,24,0.04206,1,0,1
CD000093_11,2.9999999999999997e-05,7e-05,STD-Radford-1993,17,4e-05,1,1,0
CD000093_19,0.00336,0.00526,STD-Saudan-2002,33,0.0019,1,1,0
CD000093_20,0.0019,0.00379,STD-Benum-1994,61,0.0018899999999999998,1,1,0
CD000094_1,0.03142,0.04469,STD-Hoffbrand-1988,26,0.013269999999999999,1,1,0
CD000099_1,0.03105,0.06125,STD-Tesarik-2005,8,0.0302,1,0,1
CD000099_2,4e-05,7e-05,STD-Kueuk-2008,13,2.9999999999999997e-05,1,1,0
CD000100_5,0.032139999999999995,0.18287,STD-Crosnier-1981,5,0.15073,1,0,1
CD000102_1,0.00011,0.00011,STD-Shaffer-AN_x002c_-IP,12,0.0,1,1,0
CD000102_3,0.00108,0.00995,STD-Wiktor-AN_x002c_-IP,9,0.008870000000000001,1,1,0
CD000102_4,0.01849,0.0306,STD-Dabis-AN_x002c_-IP_x002c_-PNm,7,0.01211,1,1,0
CD000102_6,0.0,0.00072,STD-Dabis-AN_x002c_-IP_x002c_-PNm,4,0.00072,1,1,0
CD000104_6,0.030489999999999996,0.031039999999999998,STD-Thome-1998,12,0.000550000000000002,1,1,0
CD000104_7,0.0,0.0,STD-Sun-2014,97,0.0,1,1,0
CD000104_14,0.02988,0.06617,STD-Thome-1998,13,0.036289999999999996,1,0,1
CD000111_15,4e-05,0.42013999999999996,STD-Chaichian-2009,5,0.4201,1,0,1
CD000111_31,1e-05,7e-05,STD-Taha-2000,21,5.9999999999999995e-05,1,1,0
CD000116_2,0.017130000000000003,0.11068,STD-Westerhuis-2010,6,0.09355,1,0,1
CD000116_4,0.0,2.9999999999999997e-05,STD-Vayssiere-2007,5,2.9999999999999997e-05,1,1,0
CD000119_7,0.00935,0.029639999999999996,STD-PREVAIL-2007,7,0.02029,1,1,0
CD000119_11,0.046939999999999996,0.14015999999999998,STD-PREVAIL-2007,7,0.09322000000000001,1,0,1
CD000123_3,0.0,0.0,STD-HPS,23,0.0,1,1,0
CD000123_5,0.0016,0.0016,STD-Castano-2001,18,0.0,1,1,0
CD000123_6,0.0,0.0,STD-HPS,23,0.0,1,1,0
CD000123_8,5e-05,0.0005,STD-LEADER,16,0.00045,1,1,0
CD000123_9,0.0,0.00025,STD-HPS,14,0.00025,1,1,0
CD000126_7,0.0,0.0,STD-GALA-2008,8,0.0,1,1,0
CD000127_1,0.00264,0.00718,STD-Bangladesh-1998,22,0.00454,1,1,0
CD000127_11,0.0,0.0,STD-Collab-Trial-1995,24,0.0,1,1,0
CD000127_14,0.04523,0.050480000000000004,STD-Nigeria--2004,5,0.00525,1,0,1
CD000127_17,0.0246,0.028839999999999998,STD-Zimbabwe-1990,14,0.00424,1,1,0
CD000128_1,0.00016999999999999999,0.00288,STD-Collab-Trial-1995,11,0.00271,1,1,0
CD000128_5,0.00245,0.03967,STD-Collab-Trial-1995,5,0.037219999999999996,1,1,0
CD000128_11,1e-05,8e-05,STD-Collab-Trial-1995,15,7e-05,1,1,0
CD000137_1,0.04645,0.30618,STD-Battaglia-1992,3,0.25973,1,0,1
CD000139_1,0.01459,0.02866,STD-Muro-1992,10,0.01407,1,1,0
CD000140_1,0.01813,0.07447000000000001,STD-Gupta-1981,5,0.05634,1,0,1
CD000140_10,0.0366,0.14504,STD-Peliowski-1990,3,0.10844000000000001,1,0,1
CD000143_1,0.0,1e-05,STD-Higgins-1991,51,1e-05,1,1,0
CD000144_7,0.02953,0.02953,STD-VT-Oxford-1996,6,0.0,1,1,0
CD000144_9,0.01231,0.01231,STD-VT-Oxford-1996,11,0.0,1,1,0
CD000144_12,0.03145,0.03145,STD-VT-Oxford-1996,8,0.0,1,1,0
CD000146_3,1e-05,1e-05,STD-Russell-1983,28,0.0,1,1,0
CD000146_4,0.03442,0.03442,STD-Ortega-2011,10,0.0,1,1,0
CD000146_6,0.00981,0.027139999999999997,STD-Shiffman-2009-_x0028_2mg_x0029_,5,0.01733,1,1,0
CD000147_7,0.02479,0.20611,STD-Dorn-1985,4,0.18132,1,0,1
CD000147_19,0.039330000000000004,0.08212,STD-Fischhof-1989,3,0.042789999999999995,1,0,1
CD000147_23,2e-05,0.00011,STD-Morich-1996,9,9e-05,1,1,0
CD000160_4,0.0,0.0,STD-AbuRahma-1996,11,0.0,1,1,0
CD000160_6,0.01,0.0125,STD-Myers-1994,12,0.0025,1,1,0
CD000160_7,0.00033,0.0006,STD-AbuRahma-1996,14,0.00027,1,1,0
CD000160_10,0.03692,0.16432,STD-Myers-1994,3,0.1274,1,0,1
CD000163_2,0.01989,0.02364,STD-Shahin-2009,17,0.00375,1,1,0
CD000166_3,0.0,0.0,STD-Hannah-2000,3,0.0,1,1,0
CD000166_4,0.02843,0.06669,STD-Gimovsky-1983,3,0.03826,1,0,1
CD000169_8,0.0,0.0,STD-Cot-1992-BFA,13,0.0,1,1,0
CD000169_10,0.0,0.00018999999999999998,STD-Shulman-1999-KEN,12,0.00018999999999999998,1,1,0
CD000169_12,0.0,0.0,STD-Njagi-2003ii-KEN,15,0.0,1,1,0
CD000169_13,0.0,0.0,STD-Shulman-1999-KEN,13,0.0,1,1,0
CD000169_16,0.0,0.0,STD-Shulman-1999-KEN,20,0.0,1,1,0
CD000169_18,0.046669999999999996,0.14074,STD-Parise-1998ii-KEN,12,0.09407,1,0,1
CD000171_1,0.00026000000000000003,0.00133,STD-Whalen-1997,54,0.00107,1,1,0
CD000171_5,0.049210000000000004,0.12767,STD-Whalen-1997,28,0.07846,1,0,1
CD000174_4,0.00866,0.01699,STD-Morales_x002d_Suarez-1994,14,0.008329999999999999,1,1,0
CD000174_11,0.00895,0.00952,STD-Bandstra-1988,8,0.000570000000000001,1,1,0
CD000174_25,0.0024100000000000002,0.0024100000000000002,STD-Ment-1994b,7,0.0,1,1,0
CD000174_27,1e-05,9e-05,STD-Bandstra-1988,14,8e-05,1,1,0
CD000184_1,0.00026000000000000003,0.00156,STD-Vani-2009,17,0.0013,1,1,0
CD000184_2,0.00441,0.03406,STD-Vani-2009,11,0.02965,1,1,0
CD000184_3,0.0005,0.0192,STD-Vani-2009,15,0.0187,1,1,0
CD000184_4,0.00828,0.05773,STD-Impey-2005,24,0.04945,1,0,1
CD000184_5,0.0,0.00023999999999999998,STD-Vani-2009,29,0.00023999999999999998,1,1,0
CD000184_8,0.0001,0.0018100000000000002,STD-Bujold-2003a,3,0.0017100000000000001,1,1,0
CD000184_9,0.01235,0.01235,STD-Weiniger-2007,5,0.0,1,1,0
CD000193_4,0.0,1e-05,STD-Avgerinos-1997,17,1e-05,1,1,0
CD000193_5,0.0,1e-05,STD-Shiha-1996,13,1e-05,1,1,0
CD000195_4,0.020880000000000003,0.17290999999999998,STD-Fiel-1983,3,0.15203,1,0,1
CD000198_5,0.00027,0.00067,STD-Spira-1986,9,0.0004,1,1,0
CD000200_2,0.02762,0.05143,STD-Auer-1989,10,0.023809999999999998,1,0,1
CD000201_1,0.014830000000000001,0.014830000000000001,STD-Yuen-1995,12,0.0,1,1,0
CD000201_6,0.00323,0.00323,STD-Yuen-1995,10,0.0,1,1,0
CD000201_8,0.01218,0.10762999999999999,STD-McDonald-1993,8,0.09545,1,0,1
CD000201_9,0.01222,0.03361,STD-McDonald-1993,8,0.02139,1,1,0
CD000201_10,0.0038200000000000005,0.02327,STD-McDonald-1993,6,0.01945,1,1,0
CD000201_11,0.0039,0.00798,STD-McDonald-1993,6,0.004079999999999999,1,1,0
