"REV_OUTCOME","p_value","r_value","excluded_study","num_of_studies"
"CD000004_7",0.0300252637285381,0.167520337469539,"STD-Blecher-1967",3
"CD000006_4",0.195148850740211,0.222998489652886,"STD-Kettle-2002",6
"CD000006_6",0.0338500580263966,0.268181946337404,"STD-Kettle-2002",7
"CD000009_2",0.140191622148515,0.291072243732254,"STD-Cottraux-1983",28
"CD000012_1",0.0196048806275076,0.0230940670468364,"STD-MacVicar-1993",14
"CD000012_2",0.133162169741586,0.985666662931848,"STD-Hundley-1994",6
"CD000012_3",0.255227477764768,0.43897082163999,"STD-Begley-2009",3
"CD000012_4",0.33798049868183,0.33798049868183,"STD-MacVicar-1993",4
"CD000012_5",0.147578796988882,0.584754542134341,"STD-Waldenstrom-1997",3
"CD000012_6",5.94323176632433e-11,7.263788984842e-07,"STD-Waldenstrom-1997",11
"CD000012_7",0.000249741024646998,0.000907453085034714,"STD-Begley-2009",11
"CD000012_8",0.829092221397522,0.829092221397522,"STD-Hodnett-2009",10
"CD000012_9",0.0164261594886371,0.0434202301764625,"STD-Hundley-1994",9
"CD000012_10",0.0129941107555426,0.0299312426535206,"STD-MacVicar-1993",8
"CD000012_11",0.0516729798530258,0.0971700975874192,"STD-MacVicar-1993",8
"CD000012_12",0.366708522053474,0.764027122665791,"STD-Bernitz-2011",6
"CD000012_13",0.810811586161717,0.810811586161717,"STD-Klein-1984",7
"CD000013_3",0.258791924302908,0.403777953252938,"STD-Strong-1990",4
"CD000013_4",1.16074305729426e-14,7.9967414331687e-09,"STD-Abdel_x002d_Aleem-2005",10
"CD000013_5",0.00018330693175003,0.0358981937123682,"STD-Abdel_x002d_Aleem-2005",10
"CD000013_6",3.47721380369864e-08,0.0194401318825766,"STD-Schrimmer-1991",8
"CD000013_10",0.337474625150402,0.389948159632764,"STD-Wu-1989",4
"CD000013_11",0.0936377381264767,0.0936377381264767,"STD-Owen-1990",5
"CD000013_12",0.074343258156631,0.415370621523544,"STD-Abdel_x002d_Aleem-2005",5
"CD000013_14",0.0838787434854054,0.489548473822346,"STD-Amin-2003",3
"CD000013_16",1.01676278692422e-07,1.59977780809134e-05,"STD-Abdel_x002d_Aleem-2005",4
"CD000013_17",0.117684307575613,0.117684307575613,"STD-Vergani-1996",6
"CD000013_20",0.286261152272645,0.327605481540547,"STD-Schrimmer-1991",6
"CD000013_21",2.5280841908436e-20,8.23513305766148e-13,"STD-Regi-2009",7
"CD000013_22",0.355476589828015,0.435019649294605,"STD-MacGregor-1991",3
"CD000014_1",0.00079328044479943,0.00079328044479943,"STD-Mahomed-1998",13
"CD000014_5",0.217857075060668,0.217857075060668,"STD-Mahomed-1998",10
"CD000014_6",2.56902555431147e-05,0.249150034905743,"STD-Macri-1992",7
"CD000014_7",2.2397790050643e-16,6.24423425306409e-14,"STD-Macri-1992",11
"CD000014_9",0.0185728197325995,0.0262446730279582,"STD-Cialone-1994",5
"CD000014_10",0.300109527348693,0.300109527348693,"STD-Mahomed-1998",4
"CD000014_11",0.524527243681804,0.914285952917078,"STD-Rathore-2002",8
"CD000014_12",0.378276278942292,0.888946538121532,"STD-Cialone-1994",5
"CD000014_13",0.448102150675361,0.79674177185058,"STD-Puertas-2001",3
"CD000014_15",0.146676943186304,0.339425001882143,"STD-Rathore-2002",8
"CD000014_16",9.93174706849335e-08,0.167450033626598,"STD-Sood-2004",5
"CD000014_17",3.79385236915995e-06,0.0272780164973173,"STD-Choudhary-2010",11
"CD000014_22",0.000866516429390209,0.0692609390008879,"STD-Choudhary-2010",14
"CD000014_23",0.000131619096545203,0.025364642633169,"STD-Choudhary-2010",7
"CD000016_1",2.42969249674659e-09,4.78165658768808e-09,"STD-Kenya-1989",189
"CD000016_2",0.538207666910661,0.964178300845202,"STD-Cote-d_x0027_Ivoire-1993",8
"CD000019_2",0.384806384637541,0.685800556231252,"STD-Ballard-1998",5
"CD000019_3",0.357013693597552,0.762488617636527,"STD-Chile-1998",4
"CD000019_5",0.28079130446504,0.37517015289599,"STD-ACTOBAT-1995",3
"CD000019_9",0.501523762024751,0.943205140874046,"STD-Chile-1998",4
"CD000019_10",0.368314584841971,0.882140824862906,"STD-Chile-1998",6
"CD000019_11",0.166546708501968,0.298190374309245,"STD-ACTOBAT-1995",3
"CD000019_12",0.0508669024669384,0.0752481466269571,"STD-Ballard-1998",4
"CD000019_13",0.315575106769913,0.370174757042141,"STD-ACTOBAT-1995",41
"CD000019_14",0.00704675824240614,0.0542202176736393,"STD-ACTOBAT-1995",57
"CD000019_15",0.0720737469341861,0.0720737469341861,"STD-Knight-1994",3
"CD000019_16",0.00948559193774523,0.0108051117659355,"STD-ACTOBAT-1995",3
"CD000019_32",0.0288489124831809,0.0744040432035679,"STD-ACTOBAT-1995",21
"CD000019_36",0.322797966476275,0.345834294473786,"STD-ACTOBAT-1995",6
"CD000021_1",1.5462749035311e-06,2.39799122813883e-05,"STD-International-1966",20
"CD000021_2",0.000759114583702493,0.0045862577436094,"STD-International-1966",16
"CD000022_1",0.0134554385198342,0.0209636618229113,"STD-Krueger-2002",37
"CD000022_2",0.0134554385198342,0.0209636618229113,"STD-Krueger-2002",37
"CD000022_3",0.0105134284589069,0.0189471332556364,"STD-Krueger-2002",37
"CD000022_4",1.15849042339808e-42,2.26732828919461e-35,"STD-Krueger-2002",34
"CD000022_5",1.15849042339808e-42,2.26732828919461e-35,"STD-Krueger-2002",34
"CD000022_6",1.75743677272846e-39,2.26732828919461e-35,"STD-Krueger-2002",34
"CD000024_1",0.27993700314861,0.594671538688671,"STD-FISS-1995",8
"CD000024_2",0.19817663260049,0.402047305048914,"STD-FISS-1995",11
"CD000024_3",0.202219149257373,0.23378947105826,"STD-Prins-1989",19
"CD000024_4",0.865782069145153,0.958342688322516,"STD-TOAST-1998",10
"CD000024_5",0.0135817436247409,0.0174796613126353,"STD-McCarthy-1986",10
"CD000024_6",0.123610484062252,0.293483882197219,"STD-FISS_x002d_bis-1998",10
"CD000024_7",0.19433313725254,0.554332251871026,"STD-FISS-1995",8
"CD000024_8",0.00264358294468214,0.0144698848403163,"STD-IST-1997",10
"CD000024_9",0.778119667674215,0.948590974356123,"STD-Turpie-1987",8
"CD000024_10",0.0386270891989574,0.449668641473321,"STD-IST-1997",5
"CD000025_1",3.7892719978207e-06,0.000105176478872957,"STD-Nimodipine-SG-2003",20
"CD000025_2",0.24248395135206,0.972441793133152,"STD-Magpie-Trial-2002",3
"CD000025_3",0.303124113452076,0.882011044918234,"STD-Magpie-Trial-2002",5
"CD000025_4",0.81942115288727,0.829824664872649,"STD-USA-_x002d_-Memphis-1997",3
"CD000025_5",0.109489407616133,0.617203831538605,"STD-Magpie-Trial-2002",7
"CD000025_8",0.00031490061757188,0.00031490061757188,"STD-Magpie-Trial-2002",10
"CD000025_9",0.00782980374573205,0.014770766905061,"STD-Magpie-Trial-2002",30
"CD000025_13",0.0554463143790688,0.148281195240252,"STD-Magpie-Trial-2002",6
"CD000025_14",0.551423730063144,0.651455400058002,"STD-Magpie-Trial-2002",6
"CD000025_15",0.806168096822525,0.823672511085357,"STD-South-Africa-1998",4
"CD000025_16",0.655143862946386,0.930195839344058,"STD-South-Africa-1998",7
"CD000025_18",0.0458676438119909,0.165643958240378,"STD-USA-_x002d_-Texas-1995",15
"CD000025_21",0.255710133877993,0.920637990461013,"STD-Magpie-Trial-2002",7
"CD000025_26",0.151512386451027,0.193474700926141,"STD-Magpie-Trial-2002",15
"CD000025_27",0.525411500636175,0.954973093231615,"STD-Magpie-Trial-2002",9
"CD000025_28",0.452272192395389,0.861543392597456,"STD-Magpie-Trial-2002",3
"CD000025_34",0.483536799187873,0.763469345724076,"STD-Nimodipine-SG-2003",5
"CD000026_1",0.385637781179744,0.487714309245655,"STD-Perfect-1992",26
"CD000026_2",0.00948957021026249,0.0252209725810395,"STD-Penack-2006",20
"CD000026_3",0.000185987645813126,0.000258876861570665,"STD-Yamac-1995",28
